model,filename,sacrebleu,wer,semsim
helsinki-nlp,abstracts.csv,43.1,47.9,92.3
helsinki-nlp,preferred_en2es.csv,26.2,38.5,87.0
helsinki-nlp,scielo.csv,38.7,46.7,90.8
helsinki-nlp,snomed.csv,28.1,28.1,81.4
helsinki-nlp,orphanet_definitions.csv,45.3,53.3,93.5
helsinki-nlp,khresmoi.csv,49.5,61.0,95.9
helsinki-nlp,orphanet_terms.csv,43.6,58.0,94.5
helsinki-nlp,medline.csv,54.4,63.8,93.7
madlad,abstracts.csv,45.7,50.5,92.6
madlad,preferred_en2es.csv,16.1,15.5,84.7
madlad,scielo.csv,40.6,48.2,91.3
madlad,snomed.csv,31.5,30.3,82.1
madlad,orphanet_definitions.csv,49.0,55.1,93.4
madlad,khresmoi.csv,50.0,61.8,96.1
madlad,orphanet_terms.csv,50.3,63.9,95.5
madlad,medline.csv,56.3,65.1,94.0
nllb-3B,abstracts.csv,43.5,47.2,92.2
nllb-3B,preferred_en2es.csv,8.5,-22.8,79.0
nllb-3B,scielo.csv,37.8,44.9,90.4
nllb-3B,snomed.csv,18.8,-7.9,79.7
nllb-3B,orphanet_definitions.csv,45.4,52.9,93.5
nllb-3B,khresmoi.csv,49.3,60.9,96.0
nllb-3B,orphanet_terms.csv,35.9,47.0,92.9
nllb-3B,medline.csv,51.8,60.3,93.2
nllb-600M,abstracts.csv,40.6,45.2,91.7
nllb-600M,preferred_en2es.csv,12.4,0.8,81.3
nllb-600M,scielo.csv,36.3,43.0,90.0
nllb-600M,snomed.csv,23.4,19.3,80.2
nllb-600M,orphanet_definitions.csv,36.2,43.6,92.6
nllb-600M,khresmoi.csv,47.1,59.4,95.8
nllb-600M,orphanet_terms.csv,33.6,49.8,93.2
nllb-600M,medline.csv,47.7,57.5,93.0
